"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 11, 1983","126.85","126.85","126.85","126.85","-","0.51%"
"Oct 07, 1983","126.21","126.21","126.21","126.21","-","-0.58%"
"Oct 06, 1983","126.95","126.95","126.95","126.95","-","-0.30%"
"Oct 05, 1983","127.33","127.33","127.33","127.33","-","-0.86%"
"Oct 04, 1983","128.44","128.44","128.44","128.44","-","0.23%"
"Oct 03, 1983","128.15","128.15","128.15","128.15","-","-0.16%"
"Sep 30, 1983","128.35","128.35","128.35","128.35","-","-0.26%"
"Sep 29, 1983","128.68","128.68","128.68","128.68","-","-0.10%"
"Sep 28, 1983","128.81","128.81","128.81","128.81","-","-0.22%"
"Sep 27, 1983","129.10","129.10","129.10","129.10","-","0.15%"
"Sep 26, 1983","128.91","128.91","128.91","128.91","-","-0.19%"
"Sep 23, 1983","129.16","129.16","129.16","129.16","-","-0.93%"
"Sep 22, 1983","130.37","130.37","130.37","130.37","-","0.56%"
"Sep 21, 1983","129.64","129.64","129.64","129.64","-","-0.02%"
"Sep 20, 1983","129.66","129.66","129.66","129.66","-","0.27%"
"Sep 19, 1983","129.31","129.31","129.31","129.31","-","-0.32%"
"Sep 16, 1983","129.73","129.73","129.73","129.73","-","-0.40%"
"Sep 15, 1983","130.25","130.25","130.25","130.25","-","-0.25%"
"Sep 14, 1983","130.58","130.58","130.58","130.58","-","0.25%"
"Sep 13, 1983","130.26","130.26","130.26","130.26","-","0.64%"
"Sep 12, 1983","129.43","129.43","129.43","129.43","-","-0.40%"
"Sep 09, 1983","129.95","129.95","129.95","129.95","-","-0.15%"
"Sep 08, 1983","130.14","130.14","130.14","130.14","-","-0.29%"
"Sep 07, 1983","130.52","130.52","130.52","130.52","-","0.22%"
"Sep 06, 1983","130.23","130.23","130.23","130.23","-","-0.41%"
"Sep 02, 1983","130.77","130.77","130.77","130.77","-","0.02%"
"Sep 01, 1983","130.74","130.74","130.74","130.74","-","-0.08%"
"Aug 31, 1983","130.84","130.84","130.84","130.84","-","0.27%"
"Aug 30, 1983","130.49","130.49","130.49","130.49","-","0.23%"
"Aug 29, 1983","130.19","130.19","130.19","130.19","-","0.42%"
"Aug 26, 1983","129.64","129.64","129.64","129.64","-","0.74%"
"Aug 25, 1983","128.69","128.69","128.69","128.69","-","0.22%"
"Aug 24, 1983","128.41","128.41","128.41","128.41","-","0.25%"
"Aug 23, 1983","128.09","128.09","128.09","128.09","-","-0.12%"
"Aug 22, 1983","128.25","128.25","128.25","128.25","-","-0.64%"
"Aug 19, 1983","129.08","129.08","129.08","129.08","-","0.59%"
"Aug 18, 1983","128.32","128.32","128.32","128.32","-","-0.23%"
"Aug 17, 1983","128.61","128.61","128.61","128.61","-","-0.50%"
"Aug 16, 1983","129.25","129.25","129.25","129.25","-","-1.44%"
"Aug 15, 1983","131.14","131.14","131.14","131.14","-","-0.42%"
"Aug 12, 1983","131.69","131.69","131.69","131.69","-","-0.19%"
"Aug 11, 1983","131.94","131.94","131.94","131.94","-","0.26%"
"Aug 10, 1983","131.60","131.60","131.60","131.60","-","1.01%"
"Aug 09, 1983","130.28","130.28","130.28","130.28","-","-0.18%"
"Aug 08, 1983","130.52","130.52","130.52","130.52","-","0.25%"
"Aug 05, 1983","130.19","130.19","130.19","130.19","-","0.40%"
"Aug 04, 1983","129.67","129.67","129.67","129.67","-","0.39%"
"Aug 03, 1983","129.17","129.17","129.17","129.17","-","0.05%"
"Aug 02, 1983","129.10","129.10","129.10","129.10","-","-0.45%"
"Aug 01, 1983","129.68","129.68","129.68","129.68","-","0.97%"
"Jul 29, 1983","128.44","128.44","128.44","128.44","-","0.55%"
"Jul 28, 1983","127.74","127.74","127.74","127.74","-","0.11%"
"Jul 27, 1983","127.60","127.60","127.60","127.60","-","0.31%"
"Jul 26, 1983","127.20","127.20","127.20","127.20","-","0.07%"
"Jul 25, 1983","127.11","127.11","127.11","127.11","-","0.34%"
"Jul 22, 1983","126.68","126.68","126.68","126.68","-","0.30%"
"Jul 21, 1983","126.30","126.30","126.30","126.30","-","0.16%"
"Jul 20, 1983","126.10","126.10","126.10","126.10","-","-0.54%"
"Jul 19, 1983","126.78","126.78","126.78","126.78","-","-0.09%"
"Jul 18, 1983","126.90","126.90","126.90","126.90","-","-0.12%"
"Jul 15, 1983","127.05","127.05","127.05","127.05","-","0.68%"
"Jul 14, 1983","126.19","126.19","126.19","126.19","-","-0.11%"
"Jul 13, 1983","126.33","126.33","126.33","126.33","-","-0.13%"
"Jul 12, 1983","126.49","126.49","126.49","126.49","-","0.01%"
"Jul 11, 1983","126.48","126.48","126.48","126.48","-","0.26%"
"Jul 08, 1983","126.15","126.15","126.15","126.15","-","0.02%"
"Jul 07, 1983","126.12","126.12","126.12","126.12","-","0.28%"
"Jul 06, 1983","125.77","125.77","125.77","125.77","-","-0.17%"
"Jul 05, 1983","125.99","125.99","125.99","125.99","-","0.81%"
"Jul 01, 1983","124.98","124.98","124.98","124.98","-","0.03%"
"Jun 30, 1983","124.94","124.94","124.94","124.94","-","-0.17%"
"Jun 29, 1983","125.15","125.15","125.15","125.15","-","0.17%"
"Jun 28, 1983","124.94","124.94","124.94","124.94","-","0.22%"
