"Date","Price","Open","High","Low","Change %"
"Jun 02, 1995","6.097","6.097","6.097","6.097","-1.69%"
"Jun 01, 1995","6.202","6.202","6.202","6.202","-1.34%"
"May 31, 1995","6.286","6.286","6.286","6.286","0.06%"
"May 30, 1995","6.282","6.282","6.282","6.282","-1.92%"
"May 26, 1995","6.405","6.405","6.405","6.405","0.33%"
"May 25, 1995","6.384","6.384","6.384","6.384","-0.47%"
"May 24, 1995","6.414","6.414","6.414","6.414","-2.17%"
"May 23, 1995","6.556","6.556","6.556","6.556","-1.18%"
"May 22, 1995","6.634","6.634","6.634","6.634","0.06%"
"May 19, 1995","6.630","6.630","6.630","6.630","0.53%"
"May 18, 1995","6.595","6.595","6.595","6.595","0.73%"
"May 17, 1995","6.547","6.547","6.547","6.547","0.06%"
"May 16, 1995","6.543","6.543","6.543","6.543","-1.12%"
"May 15, 1995","6.617","6.617","6.617","6.617","-0.78%"
"May 12, 1995","6.669","6.669","6.669","6.669","-0.12%"
"May 11, 1995","6.677","6.677","6.677","6.677","-0.01%"
"May 10, 1995","6.678","6.678","6.678","6.678","1.29%"
"May 09, 1995","6.593","6.593","6.593","6.593","-1.52%"
"May 08, 1995","6.695","6.695","6.695","6.695","0.12%"
"May 05, 1995","6.687","6.687","6.687","6.687","-2.51%"
"May 04, 1995","6.859","6.859","6.859","6.859","-1.05%"
"May 03, 1995","6.932","6.932","6.932","6.932","-1.25%"
"May 02, 1995","7.020","7.020","7.020","7.020","-0.61%"
"May 01, 1995","7.063","7.063","7.063","7.063","0.11%"
"Apr 28, 1995","7.055","7.055","7.055","7.055","0.18%"
"Apr 27, 1995","7.042","7.042","7.042","7.042","0.44%"
"Apr 26, 1995","7.011","7.011","7.011","7.011","0.24%"
"Apr 25, 1995","6.994","6.994","6.994","6.994","0.06%"
"Apr 24, 1995","6.990","6.990","6.990","6.990","-0.19%"
"Apr 21, 1995","7.003","7.003","7.003","7.003","-0.13%"
"Apr 20, 1995","7.012","7.012","7.012","7.012","-0.31%"
"Apr 19, 1995","7.034","7.034","7.034","7.034","-0.13%"
"Apr 18, 1995","7.043","7.043","7.043","7.043","0.18%"
"Apr 17, 1995","7.030","7.030","7.030","7.030","0.13%"
"Apr 14, 1995","7.021","7.021","7.021","7.021","-0.07%"
"Apr 13, 1995","7.026","7.026","7.026","7.026","-0.31%"
"Apr 12, 1995","7.048","7.048","7.048","7.048","-0.49%"
"Apr 11, 1995","7.083","7.083","7.083","7.083","-0.44%"
"Apr 10, 1995","7.114","7.114","7.114","7.114","0.13%"
"Apr 07, 1995","7.105","7.105","7.105","7.105","0.50%"
"Apr 06, 1995","7.070","7.070","7.070","7.070","-0.44%"
"Apr 05, 1995","7.101","7.101","7.101","7.101","-0.31%"
"Apr 04, 1995","7.123","7.123","7.123","7.123","-0.13%"
"Apr 03, 1995","7.132","7.132","7.132","7.132","-0.92%"
"Mar 31, 1995","7.198","7.198","7.198","7.198","0.53%"
"Mar 30, 1995","7.160","7.160","7.160","7.160","0.45%"
"Mar 29, 1995","7.128","7.128","7.128","7.128","-0.18%"
"Mar 28, 1995","7.141","7.141","7.141","7.141","1.31%"
"Mar 27, 1995","7.049","7.049","7.049","7.049","-0.49%"
"Mar 24, 1995","7.084","7.084","7.084","7.084","-1.42%"
"Mar 23, 1995","7.186","7.186","7.186","7.186","-0.18%"
"Mar 22, 1995","7.199","7.199","7.199","7.199","0.18%"
"Mar 21, 1995","7.186","7.186","7.186","7.186","0.93%"
"Mar 20, 1995","7.120","7.120","7.120","7.120","0.18%"
"Mar 17, 1995","7.107","7.107","7.107","7.107","0.24%"
"Mar 16, 1995","7.090","7.090","7.090","7.090","0.00%"
"Mar 15, 1995","7.090","7.090","7.090","7.090","-0.25%"
"Mar 14, 1995","7.108","7.108","7.108","7.108","-1.03%"
"Mar 13, 1995","7.182","7.182","7.182","7.182","-0.55%"
"Mar 10, 1995","7.222","7.222","7.222","7.222","-0.73%"
"Mar 09, 1995","7.275","7.275","7.275","7.275","-0.91%"
"Mar 08, 1995","7.342","7.342","7.342","7.342","-1.20%"
"Mar 07, 1995","7.431","7.431","7.431","7.431","0.24%"
"Mar 06, 1995","7.413","7.413","7.413","7.413","0.97%"
"Mar 03, 1995","7.342","7.342","7.342","7.342","0.73%"
"Mar 02, 1995","7.289","7.289","7.289","7.289","0.86%"
"Mar 01, 1995","7.227","7.227","7.227","7.227","0.31%"
"Feb 28, 1995","7.205","7.205","7.205","7.205","-0.21%"
"Feb 27, 1995","7.220","7.220","7.220","7.220","-1.26%"
"Feb 24, 1995","7.312","7.312","7.312","7.312","-0.12%"
"Feb 23, 1995","7.321","7.321","7.321","7.321","-0.18%"
"Feb 22, 1995","7.334","7.334","7.334","7.334","-1.44%"
"Feb 21, 1995","7.441","7.441","7.441","7.441","0.24%"
"Feb 20, 1995","7.423","7.423","7.423","7.423","0.00%"
"Feb 17, 1995","7.423","7.423","7.423","7.423","0.18%"
"Feb 16, 1995","7.410","7.410","7.410","7.410","-0.19%"
"Feb 15, 1995","7.424","7.424","7.424","7.424","-0.89%"
"Feb 14, 1995","7.491","7.491","7.491","7.491","-1.49%"
"Feb 13, 1995","7.604","7.604","7.604","7.604","-0.12%"
"Feb 10, 1995","7.613","7.613","7.613","7.613","0.49%"
